Symbol,Underlying,Security Name, Date of Listing, Market Lot,ISIN Number, Face Value
AXISTECETF,NIFTY IT Index,AXISAMC - AXISTECETF,31-Mar-21,1,INF846K01Y96,100
NETFSDL26,Nifty SDL Apr 2026 Top 20 Equal Weight Index,RELCAPAMC-NETFSDL26,31-Mar-21,1,INF204KC1022,10
GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index,RELCAPAMC - NETFGILT5Y,8-Apr-21,1,INF204KC1030,10
MAFANG,NYSE FANG+ Total Return Index,MIRAEAMC - MAFANG,14-May-21,1,INF769K01HF4,40
AXISBPSETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,AXISAMC - AXISBPSETF,18-May-21,1,INF846K01Z04,1
AXISHCETF,Nifty Healthcare Index,AXISAMC - AXISHCETF,21-May-21,1,INF846K01Z12,10
ICICIPHARM,Nifty Healthcare Index,ICICIPRAMC - ICICIPHARM,25-May-21,1,INF109KC1Q72,10
PHARMABEES,NIFTY Pharma Index,NIPPONAMC - NETFPHARMA,7-Jul-21,1,INF204KC1089,10
SBIETFCON,Nifty India Consumption Index,SBIAMC - SBIETFCON,29-Jul-21,1,INF200KA1X17,10
BFSI,Nifty Financial Services Index,MIRAEAMC - MAFSETF,5-Aug-21,1,INF769K01HI8,10
ICICIFMCG,Nifty FMCG Index,ICICIPRAMC - ICICIFMCG,10-Aug-21,1,INF109KC1R48,10
AXISCETF,NIFTY India Consumption Index,AXISAMC - AXISCETF,23-Sep-21,1,INF846K016C7,10
"MASPTOP50	",S&P 500 Top 50 Total Return Index,MIRAEAMC - MASPTOP50,24-Sep-21,1,INF769K01HP3,20
BSLSENETFG,BSE SENSEX Index,BIRLASLAMC - BSLSENETFG,6-Oct-21,1,INF209KB1119,10
HEALTHY,Nifty Healthcare TRI Index,BIRLASLAMC - HEALTHY,28-Oct-21,1,INF209KB10C2,1
ICICICONSU,Nifty India Consumption Index,ICICIPRAMC - ICICICONSU,2-Nov-21,1,INF109KC1V42,10
TECH,Nifty IT TRI Index,BIRLASLAMC - TECH,3-Nov-21,1,INF209KB11D8,1
DSPNEWETF,NIFTY 50 Equal Weight Index,DSPAMC - DSPNEWETF,12-Nov-21,1,INF740KA1QK2,10
MAHKTECH,Hang Seng TECH Total Return Index,MIRAEAMC - MAHKTECH,10-Dec-21,1,INF769K01HS7,10
BBETF0432,Nifty BHARAT Bond Index - April 2032,EDELAMC - BBETF0432,17-Dec-21,1,INF754K01OB1,1000
KOTAKALPHA,NIFTY Alpha 50 Index,KOTAKMAMC - KOTAKALPHA,29-Dec-21,1,INF174KA1IA5,10
MONQ50,Nasdaq Q-50 Total Return Index,MOTILALAMC - MONQ50,29-Dec-21,1,INF247L01AU3,10
DSPN50ETF,Nifty 50 Index,DSPAMC - DSPN50ETF,30-Dec-21,1,INF740KA1CL0,10
DSPQ50ETF,Nifty Midcap 150 Quality 50 Index,DSPAMC - DSPQ50ETF,30-Dec-21,1,INF740KA1QL0,10
ICICIAUTO,Nifty Auto Index,ICICIPRAMC - ICICIAUTO,18-Jan-22,1,INF109KC1Y49,10
AUTOBEES,Nifty Auto Index,NIPPONAMC - NETFAUTO,25-Jan-22,1,INF204KC1337,10
ICICISILVE,Domestic Price of Silver,ICICIPRAMC - ICICISILVE,31-Jan-22,1,INF109KC1Y56,10
MAKEINDIA,Nifty India Manufacturing Total Return Index,MIRAEAMC - MAMFGETF,2-Feb-22,1,INF769K01IB1,50
SILVER,Physical price of Silver,BIRLASLAMC - SILVER,3-Feb-22,1,INF209KB19F6,1
KOTAKMID50,Nifty Midcap 50 Index,KOTAKMAMC - KOTAKMID50,4-Feb-22,1,INF174KA1IB3,10
SILVERBEES,Domestic Price of Silver,NIPPONAMC - NETFSILVER,7-Feb-22,1,INF204KC1402,10
NETFSILVER,Nifty India Digital Index,NIPPONAMC - NETFSILVER,7-Feb-22,1,INF204KC1402,10
MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index,MOTILALAMC - MOMOMENTUM,17-Feb-22,1,INF247L01AX7,10
ICICI5GSEC,Nifty 5 yr Benchmark G-Sec Index,ICICIPRAMC - ICICI5GSEC,10-Mar-22,1,INF109KC14A8,10
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,MIRAEAMC - MAM150ETF,15-Mar-22,1,INF769K01IC9,5
KOTAKLOVOL,Kotak Nifty 100 Low Vol 30 ETF,KOTAKMAMC - KOTAKLOVOL,29-Mar-22,1,INF174KA1IY5,10
MOLOWVOL,Nifty Midcap 100 TRI,MOTILALAMC - MOLOWVOL,30-Mar-22,1,INF247L01BA3,10
TNIDETF,Nifty India Digital Index,TATAAML - TNIDETF,8-Apr-22,1,INF277KA1364,10
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,MOTILALAMC - MOHEALTH,4-Aug-22,1,INF247L01BB1,10
KOTAKCONS,"Kotak Nifty India Consumption ETF	",KOTAKMAMC - KOTAKCONS,4-Aug-22,1,INF174KA1JE5,10
ICICIMOM30,"ICICI Prudential Nifty 200 Momentum 30 ETF	",ICICIPRAMC - ICICIMOM30,10-Aug-22,1,INF109KC17C7,10
"HDFCNEXT50	","HDFC NIFTY NEXT 50 ETF	",HDFCAMC - HDFCNEXT50,11-Aug-22,1,"INF179KC1DA9	",418.18
HDFCNIF100,"HDFC NIFTY 100 ETF	",HDFCAMC - HDFCNIF100,11-Aug-22,1,INF179KC1DB7,177.27
KOTAKMNC,"Kotak Nifty MNC ETF	",KOTAKMAMC - KOTAKMNC,16-Aug-22,1,INF174KA1JF2,10
MOMENTUM,"Aditya Birla Sun Life Nifty 200 Momentum 30 ETF	",BIRLASLAMC - MOMENTUM,19-Aug-22,1,INF209KB14K7,1
