SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
544AP24,Andhra Pradesh State,SG,100,100,100,5.44,27-JUL-2020,,10-JUN-2024,,,,,IN1020200185
544KL24,Kerala State,SG,100,100,100,5.44,27-JUL-2020,,03-JUN-2024,,,,,IN2020200100
545AP24,Andhra Pradesh State,SG,100,100,100,5.45,27-JUL-2020,,03-JUN-2024,,,,,IN1020200151
545RJ25,Rajasthan State,SG,100,100,100,5.45,27-JUL-2020,,08-JUL-2025,,,,,IN2920200218
546PY25,Puducherry - Union Territory,SG,100,100,100,5.46,29-JAN-2021,,27-JAN-2025,,,,,IN3820200068
546TN24,Tamilnadu State,SG,100,100,100,5.46,27-JUL-2020,,03-JUN-2024,,,,,IN3120200107
547AS24,Assam State,SG,100,100,100,5.47,05-MAR-2021,,03-MAR-2024,,,,,IN1220200316
547RJ24,Rajasthan State,SG,100,100,100,5.47,27-JUL-2020,,03-JUN-2024,,,,,IN2920200093
549RJ25,Rajasthan State,SG,100,100,100,5.49,07-AUG-2020,,05-AUG-2025,,,,,IN2920200283
54BR24,Bihar State,SG,100,100,100,5.4,16-OCT-2020,,14-OCT-2024,,,,,IN1320200075
54KL24,Kerala State,SG,100,100,100,5.4,18-MAR-2021,,17-MAR-2024,,,,,IN2020200274
552AP24,Andhra Pradesh State,SG,100,100,100,5.52,04-SEP-2020,,02-SEP-2024,,,,,IN1020200326
552MP24,Madhya Pradesh State,SG,100,100,100,5.52,05-MAR-2021,,03-MAR-2024,,,,,IN2120200265
553KL25,Kerala State,SG,100,100,100,5.53,27-JUL-2020,,01-JUL-2025,,,,,IN2020200142
563GS2026,Government of India,GS,100,100,1,5.63,13-APR-2021,,12-APR-2026,,,,,IN0020210012
565KL24,Kerala State,SG,100,100,100,5.65,27-JUL-2020,,13-MAY-2024,,,,,IN2020200068
565RJ25,Rajasthan State,SG,100,100,100,5.65,27-JUL-2020,,03-JUN-2025,,,,,IN2920200101
565TN25,Tamilnadu State,SG,100,100,100,5.65,18-JUN-2021,,16-JUN-2025,,,,,IN3120210080
568MH24,Maharashtra State,SG,100,100,100,5.68,25-SEP-2020,,23-SEP-2024,,,,,IN2220200173
56HR24,Haryana State,SG,100,100,100,5.6,27-JUL-2020,,20-MAY-2024,,,,,IN1620200056
56MH24,Maharashtra State,SG,100,100,100,5.6,11-SEP-2020,,09-SEP-2024,,,,,IN2220200140
56RJ24,Rajasthan State,SG,100,100,100,5.6,09-OCT-2020,,07-OCT-2024,,,,,IN2920200416
572BR26,Bihar State,SG,100,100,100,5.72,15-JAN-2021,,13-JAN-2026,,,,,IN1320200117
574GS2026,Government of India,GS,100,100,1,5.74,16-NOV-2021,,15-NOV-2026,,,,,IN0020210186
575AP24,Andhra Pradesh State,SG,100,100,100,5.75,05-OCT-2020,,30-SEP-2024,,,,,IN1020200375
575KA25,Karnataka State,SG,100,100,100,5.75,27-JUL-2020,,10-JUN-2025,,,,,IN1920200061
575PY26,Puducherry - Union Territory,SG,100,100,100,5.75,30-OCT-2020,,28-OCT-2026,,,,,IN3820200035
575RJ25,Rajasthan State,SG,100,100,100,5.75,27-JUL-2020,,10-JUN-2025,,,,,IN2920200127
575TN25,Tamilnadu State,SG,100,100,100,5.75,27-JUL-2020,,27-MAY-2025,,,,,IN3120200081
